StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,cheating_misinfo,headlines_task_1,headlines_task_2,headlines_task_3,headlines_task_4,headlines_task_5,headlines_task_6,headlines_task_7,headlines_task_8,headlines_task_9,headlines_task_10,headlines_task_DO_1,headlines_task_DO_2,headlines_task_DO_3,headlines_task_DO_4,headlines_task_DO_5,headlines_task_DO_6,headlines_task_DO_7,headlines_task_DO_8,headlines_task_DO_9,headlines_task_DO_10,news_trust_1,news_trust_2,news_trust_3,news_trust_4,news_trust_5,news_trust_6,news_trust_DO_1,news_trust_DO_2,news_trust_DO_3,news_trust_DO_4,news_trust_DO_5,news_trust_DO_6,trust_media_1,trust_media_2,trust_media_3,trust_media_4,trust_media_5,trust_media_DO_1,trust_media_DO_2,trust_media_DO_3,trust_media_DO_4,trust_media_DO_5,sm_usage_1,sm_usage_2,sm_usage_DO_1,sm_usage_DO_2,feeling_therm_1,feeling_therm_2,feeling_therm_4,feeling_therm_5,feeling_therm_6,feeling_therm_DO_1,feeling_therm_DO_2,feeling_therm_DO_4,feeling_therm_DO_5,feeling_therm_DO_6,conspiracies_1,conspiracies_2,conspiracies_3,conspiracies_4,conspiracies_DO_1,conspiracies_DO_2,conspiracies_DO_3,conspiracies_DO_4,Misinfo_literacy_1,Misinfo_literacy_2,Misinfo_literacy_3,Misinfo_literacy_4,Misinfo_literacy_5,Misinfo_literacy_6,Misinfo_literacy_DO_1,Misinfo_literacy_DO_2,Misinfo_literacy_DO_3,Misinfo_literacy_DO_4,Misinfo_literacy_DO_5,Misinfo_literacy_DO_6,sm_cynicism_1,sm_cynicism_2,sm_cynicism_3,sm_cynicism_DO_1,sm_cynicism_DO_2,sm_cynicism_DO_3,Pol_cyn_1,ext_media_1,ext_media_1_DO_1,ext_media_1_DO_2,ext_media_1_DO_4,ext_media_1_DO_5,ext_media_2,ext_media_2_DO_1,ext_media_2_DO_2,ext_media_3,att_check,fc_trust,fc_share,fake_news_problem,sm_news_trust_1,sm_news_trust_2,sm_news_trust_3,sm_news_trust_4,sm_news_trust_DO_1,sm_news_trust_DO_2,sm_news_trust_DO_3,sm_news_trust_DO_4,efficacy_1,efficacy_2,efficacy_3,efficacy_DO_1,efficacy_DO_2,efficacy_DO_3,fc_ability_general_1,fc_ability_specific_1,Party_id,Party_id_DO_1,Party_id_DO_2,Party_id_DO_3,Party_id_DO_4,pol_knowledge_1,pol_knowledge_2,info_lookup,fc_experience,fc_bias_1,fc_bias_2,fc_bias_3,fc_bias_4,fc_keep,upload_compliance_t_Id,upload_compliance_t_Name,upload_compliance_t_Size,upload_compliance_t_Type,feedback_open_end_t,upload_compliance_c_Id,upload_compliance_c_Name,upload_compliance_c_Size,upload_compliance_c_Type,feedback_open_end_c,exp,hash,id
2023-06-23T14:11:44Z,2023-06-23T14:22:24Z,IP Address,76.92.169.101,100,639,TRUE,2023-06-23T14:22:26Z,R_2yekZeADkTntHXS,NA,NA,5497d7601b77183516ff16da3084f07a,NA,39.1027,-94.5925,anonymous,EN,Yes,NA,Not at all accurate,NA,NA,Not at all accurate,NA,NA,NA,NA,Not very accurate,9,1,6,5,2,8,10,3,4,7,Some,Some,Some,Not too much,Some,Not too much,1,2,5,4,6,3,Not at all,A lot,Some,I do not know this source,I do not know this source,1,2,5,3,4,Every few weeks,About once a day,2,1,9,81,39,0,71,4,3,2,5,1,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,2,1,3,4,6,5,6,5,5,4,5,3,6,4,2,1,Disagree,Agree,Somewhat Disagree,3,2,1,Quite a few,Some,1,4,3,2,Tend to favor one side,2,1,About half of the time,President Obama,A moderate amount,A moderate amount,A very big problem,2,70,81,51,2,1,4,3,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,3,2,1,70,72,Democrat,2,3,1,4,Six years,Twice,No,I didn't have the Fact-Checking Timeline in my Twitter feed,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,F_2SwU8S3m9mCzoyO,Screenshot_20230623-092049.png,684742,image/png,The fact checking part of my Twitter disappeared after a few days and I contacted support for help but no one responded so I used 1 fact checking page that was on there last time I checked,NA,NA,NA,NA,NA,treatment,5497d7601b77183516ff16da3084f07a,1
2023-06-23T14:18:22Z,2023-06-23T14:22:38Z,IP Address,72.189.48.151,100,255,TRUE,2023-06-23T14:22:42Z,R_1P7NyISD4yMaaFt,NA,NA,84c10cfbc4aba15d033edf6fee98e4a6,NA,28.4883,-81.4061,anonymous,EN,Yes,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,5,8,4,7,3,1,6,2,9,10,A lot,A lot,A lot,A lot,A lot,A lot,6,5,2,3,4,1,A lot,A lot,A lot,A lot,A lot,2,1,3,5,4,Every few weeks,Every few weeks,1,2,12,100,100,2,100,1,2,4,5,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1,3,4,2,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,5,4,6,1,2,3,Agree,Strongly Agree,Strongly Agree,3,1,2,Quite a few,A lot,2,4,3,1,Deal fairly with all sides,2,1,All the time,President Joe Biden,A great deal,A great deal,A very big problem,74,62,92,84,2,1,4,3,Strongly agree,Strongly agree,Strongly agree,1,3,2,99,98,Democrat,2,3,1,4,Two years,Four times,No,I liked it a lot,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely likely,F_3e9V0RC1d3ZMqYf,IMG_5354.png,4719137,image/png,NA,NA,NA,NA,NA,NA,treatment,84c10cfbc4aba15d033edf6fee98e4a6,1
2023-06-23T14:10:26Z,2023-06-23T14:28:07Z,IP Address,172.58.13.213,100,1060,TRUE,2023-06-23T14:28:09Z,R_33kjGfDobm1yflj,NA,NA,4a367a9558042e7b7bdfd41b1d4e376d,NA,39.7321,-104.9555,anonymous,EN,Yes,Not very accurate,Not at all accurate,Not very accurate,Not at all accurate,Not very accurate,Not very accurate,Not very accurate,Not very accurate,Somewhat accurate,Not very accurate,9,3,2,7,5,1,10,6,8,4,Not too much,Some,Some,Some,Some,Some,3,5,6,2,4,1,Not too much,Some,Some,Some,Some,4,2,3,1,5,About once a day,About once a day,1,2,21,78,50,2,80,2,5,3,4,1,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,4,3,2,1,Very likely,Very likely,6,Very likely,3,5,5,2,4,1,3,6,Neutral,Somewhat Agree,Somewhat Agree,3,2,1,Not very many,Some,1,4,2,3,Tend to favor one side,1,2,Never,President Obama,A lot,Little,A very big problem,43,42,42,43,2,1,4,3,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,2,1,3,90,60,Independent,1,2,3,4,Six years,Twice,No,I liked it a lot,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,6,F_270SnFb2ccsxb9l,Screenshot_20230623-082548.png,682939,image/png,Thanks for this interesting opportunity!,NA,NA,NA,NA,NA,treatment,4a367a9558042e7b7bdfd41b1d4e376d,1
2023-06-23T14:08:53Z,2023-06-23T14:28:58Z,IP Address,64.223.124.124,100,1205,TRUE,2023-06-23T14:29:00Z,R_2YQB4Wju487245q,NA,NA,c2609b488f810b9f69935631786307c6,NA,44.6359,-72.8255,anonymous,EN,Yes,Very accurate,Somewhat accurate,Somewhat accurate,Somewhat accurate,Somewhat accurate,Very accurate,Not very accurate,Very accurate,Somewhat accurate,Very accurate,2,1,9,6,8,3,4,5,10,7,A lot,A lot,A lot,Some,Some,A lot,6,2,1,4,3,5,Some,A lot,A lot,Some,A lot,3,4,5,2,1,At least 10 times a day,At least 10 times a day,2,1,69,69,75,70,74,5,2,4,1,3,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,1,3,2,4,6,Very likely,Very likely,6,6,6,5,6,1,4,3,2,Agree,Agree,Strongly Agree,2,1,3,Not very many,A lot,3,4,1,2,Deal fairly with all sides,1,2,Most of the time,President Obama,A moderate amount,A moderate amount,A moderately big problem,79,66,64,69,3,1,4,2,Somewhat agree,Somewhat agree,Somewhat agree,1,2,3,72,65,Democrat,2,1,3,4,Four years,Twice,No,I liked it a little,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,6,F_1k1fFwrYFP4Aodo,Screenshot_20230623-102409_1.jpg,313933,image/jpeg,NA,NA,NA,NA,NA,NA,treatment,c2609b488f810b9f69935631786307c6,1
2023-06-23T14:14:02Z,2023-06-23T14:28:58Z,IP Address,172.58.219.130,100,896,TRUE,2023-06-23T14:29:01Z,R_sbsLjQOBGbyWNEt,NA,NA,7864bdf16f931abb5bb2a6960aa51502,NA,42.3562,-71.0631,anonymous,EN,Yes,NA,Not at all accurate,NA,NA,NA,Somewhat accurate,NA,Not very accurate,NA,NA,10,4,2,9,5,8,3,1,6,7,Some,Not too much,Some,Some,Some,Some,5,4,2,6,1,3,Not at all,Not too much,Some,Some,Some,3,2,4,5,1,Several times a day,3 to 6 days a week,2,1,0,31,50,0,50,1,4,5,3,2,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,1,3,2,4,3,2,4,Very likely,4,5,3,1,4,6,2,5,Somewhat Agree,Agree,Neutral,1,2,3,Quite a few,Not too much,1,2,4,3,Tend to favor one side,1,2,Most of the time,President Obama,Little,Little,A very big problem,30,20,20,50,2,3,4,1,Somewhat agree,Somewhat agree,Somewhat agree,2,1,3,50,50,Independent,3,2,1,4,Two years,Twice,No,I liked it a lot,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Extremely likely,F_2YS9vB1gWVFBNM7,IMG_7432.png,1791912,image/png,I thought this was a really fun study.,NA,NA,NA,NA,NA,treatment,7864bdf16f931abb5bb2a6960aa51502,1
2023-06-23T14:21:52Z,2023-06-23T14:29:16Z,IP Address,104.28.48.216,100,443,TRUE,2023-06-23T14:29:18Z,R_vAfARhEhVH2Rxlf,NA,NA,ab9640829b744a11a1d075196f8db2a8,NA,33.4475,-112.0866,anonymous,EN,Yes,Not very accurate,Not at all accurate,Not very accurate,Very accurate,Not at all accurate,Not at all accurate,Not at all accurate,Very accurate,Not at all accurate,Not at all accurate,1,8,2,9,7,6,3,10,4,5,Not too much,Not at all,Not too much,Not too much,Some,Not too much,1,3,4,5,6,2,Not at all,Not too much,Some,Some,Some,2,5,3,1,4,Every few weeks,At least 10 times a day,2,1,0,9,12,0,5,3,2,5,1,4,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,3,4,1,2,Very likely,Very likely,Very likely,Very likely,Very likely,4,3,4,2,6,5,1,Strongly Agree,Strongly Agree,Strongly Agree,2,3,1,Quite a few,Not too much,4,2,1,3,Tend to favor one side,2,1,Once in a while,President Obama,A moderate amount,A moderate amount,A moderately big problem,0,4,0,0,3,2,4,1,Strongly agree,Somewhat agree,Somewhat disagree,3,1,2,100,100,Something else,1,3,2,4,Six years,Twice,No,I neither liked it nor disliked it,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,5,F_2Eg88rEE1x7LLrn,IMG_3431.png,1151486,image/png,NA,NA,NA,NA,NA,NA,treatment,ab9640829b744a11a1d075196f8db2a8,1
2023-06-23T14:24:20Z,2023-06-23T14:31:28Z,IP Address,24.147.49.6,100,427,TRUE,2023-06-23T14:31:31Z,R_126kAmQGK9ESQYm,NA,NA,114837c50a088c229eff5df9f19021cb,NA,42.6283,-71.3311,anonymous,EN,Yes,Not at all accurate,Not at all accurate,NA,Not at all accurate,Not at all accurate,Very accurate,Not at all accurate,Very accurate,NA,Not at all accurate,3,1,9,7,2,8,4,5,6,10,Some,Not too much,Some,Not too much,Some,Some,1,5,2,6,4,3,Not at all,Some,A lot,Some,I do not know this source,2,5,1,4,3,1 to 2 days a week,At least 10 times a day,1,2,0,65,65,0,79,5,3,2,4,1,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,4,1,2,3,Very likely,Very likely,Very likely,5,Very likely,5,2,3,5,6,1,4,Agree,Strongly Agree,Agree,1,2,3,Quite a few,Some,1,2,3,4,Deal fairly with all sides,1,2,Once in a while,President Obama,A lot,None,A very big problem,16,30,0,31,3,2,1,4,Neither agree nor disagree,Strongly agree,Strongly agree,3,2,1,94,100,Democrat,1,2,3,4,Six years,Twice,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F_2wGEVnzrN5uth5K,IMG_1890.png,3460211,image/png,NA,control,114837c50a088c229eff5df9f19021cb,1
2023-06-23T14:07:08Z,2023-06-23T14:31:53Z,IP Address,4.1.12.50,100,1484,TRUE,2023-06-23T14:31:54Z,R_1KrM4fG0jjcvPUP,NA,NA,d1b98197cf83c6c07d1931835e7e1257,NA,45.0782,-93.1894,anonymous,EN,Yes,NA,NA,NA,NA,Not at all accurate,Not very accurate,NA,NA,NA,NA,8,9,4,5,7,2,1,3,6,10,Some,Not too much,Some,Some,Some,Some,5,2,4,3,6,1,Not too much,Not too much,I do not know this source,Some,I do not know this source,1,4,3,5,2,At least 10 times a day,About once a day,2,1,50,58,57,0,68,5,3,1,2,4,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,3,2,4,1,Very likely,6,6,6,6,5,2,4,3,6,5,1,Somewhat Disagree,Agree,Somewhat Agree,3,2,1,Quite a few,Some,4,2,3,1,Tend to favor one side,2,1,Once in a while,President Obama,A great deal,None,A moderately big problem,51,66,20,66,4,2,1,3,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,1,2,3,25,7,Independent,2,3,1,4,NA,Twice,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F_1DujPRU0Kka46J8,Screenshot_20230623-093113.png,465008,image/png,NA,control,d1b98197cf83c6c07d1931835e7e1257,1
2023-06-23T14:19:54Z,2023-06-23T14:32:52Z,IP Address,208.67.98.158,100,777,TRUE,2023-06-23T14:32:54Z,R_8uFknWB8kIy3AyJ,NA,NA,d0202ca9e97f1997a3e76af3bcf22eaf,NA,33.3103,-96.7673,anonymous,EN,Yes,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Not at all accurate,Very accurate,Not at all accurate,8,10,6,4,5,2,1,7,9,3,Some,Not at all,Not too much,Not too much,Some,Some,5,3,1,2,4,6,Some,Not at all,I do not know this source,Not at all,Some,5,2,1,3,4,At least 10 times a day,Several times a day,1,2,100,0,33,100,0,1,4,2,3,5,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,2,4,1,3,Very likely,4,Very likely,4,2,Not at all likely,5,2,4,1,3,6,Neutral,Strongly Agree,Strongly Agree,1,3,2,Quite a few,Some,4,2,3,1,Tend to favor one side,1,2,All the time,President Obama,None,None,A very big problem,0,32,0,53,3,2,4,1,Somewhat disagree,Somewhat disagree,Somewhat agree,3,2,1,64,90,Republican,2,3,1,4,Eight years,Twice,No,I liked it a lot,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,6,F_1GxHLZaQF26XuGV,F86247CB-7E52-42B7-8534-21B02DBE153E.png,1785384,image/png,Thank you for the opportunity. Please consider me for future studies :)!,NA,NA,NA,NA,NA,treatment,d0202ca9e97f1997a3e76af3bcf22eaf,1
2023-06-23T14:07:43Z,2023-06-23T14:33:45Z,IP Address,102.89.40.221,100,1561,TRUE,2023-06-23T14:33:46Z,R_1kUJm25ejkmyrrg,NA,NA,c3c0b29de0e36f56d10dc2c7ac2f460d,NA,6.4474,3.3903,anonymous,EN,Yes,Somewhat accurate,Somewhat accurate,Very accurate,Not at all accurate,Not at all accurate,Very accurate,Very accurate,Very accurate,NA,NA,4,6,10,7,1,9,8,2,3,5,A lot,Not too much,Some,A lot,Some,Some,1,6,4,3,5,2,Some,A lot,Some,Some,Some,1,5,2,3,4,Several times a day,Several times a day,1,2,77,84,71,73,96,3,5,1,2,4,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,4,1,2,3,Very likely,Very likely,6,Very likely,Very likely,Very likely,4,6,1,3,5,2,Strongly Agree,Strongly Agree,Somewhat Agree,2,1,3,Quite a few,A lot,2,4,3,1,Deal fairly with all sides,2,1,About half of the time,President Obama,A lot,A lot,A very big problem,39,77,49,80,3,4,2,1,Strongly agree,Somewhat agree,Strongly agree,2,3,1,100,100,Republican,2,3,1,4,Two years,Once,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F_21B1lWXSIMgAeSV,Screenshot_20230623-153149.png,167030,image/png,I like this study it for people oriented,control,c3c0b29de0e36f56d10dc2c7ac2f460d,1
2023-06-23T14:24:46Z,2023-06-23T14:36:07Z,IP Address,192.159.148.81,100,680,TRUE,2023-06-23T14:36:10Z,R_1M68H1zjl48pFI8,NA,NA,66311c87556f8380c024602cd70c8961,NA,44.7772,-69.6976,anonymous,EN,Yes,Somewhat accurate,Not at all accurate,NA,NA,Not at all accurate,NA,Somewhat accurate,Very accurate,Very accurate,Not at all accurate,10,1,4,5,8,3,9,7,2,6,Some,Some,Some,Some,A lot,Some,6,5,1,3,4,2,Not at all,Some,A lot,I do not know this source,I do not know this source,4,3,2,1,5,Several times a day,1 to 2 days a week,1,2,1,100,91,5,75,2,4,3,5,1,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,3,2,4,1,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,5,3,4,6,2,1,Somewhat Disagree,Agree,Agree,1,3,2,Not very many,Some,2,4,3,1,Tend to favor one side,1,2,Once in a while,President Obama,A lot,Little,A very big problem,27,32,12,28,4,1,2,3,Somewhat agree,Somewhat agree,Neither agree nor disagree,1,3,2,76,60,Democrat,3,1,2,4,Four years,Twice,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F_21bS8DVqUm9gsin,IMG_0905.png,4239436,image/png,NA,control,66311c87556f8380c024602cd70c8961,1
2023-06-23T14:29:56Z,2023-06-23T14:37:53Z,IP Address,172.56.192.25,100,476,TRUE,2023-06-23T14:37:55Z,R_3V6fO8Hsjrvr0gF,NA,NA,1040ebc07347a23fe7f3f7ebbb98eae8,NA,42.3973,-71.0372,anonymous,EN,Yes,NA,Not at all accurate,Very accurate,NA,Somewhat accurate,Very accurate,NA,Very accurate,NA,Not at all accurate,9,7,1,10,4,3,5,8,6,2,Not at all,Not too much,Some,Not too much,Not too much,A lot,1,2,4,3,5,6,Not at all,Not too much,Not at all,Not at all,Not at all,2,5,1,3,4,Every few weeks,Several times a day,1,2,0,14,47,0,27,1,3,5,2,4,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,3,2,1,4,4,6,6,Not at all likely,Not at all likely,Not at all likely,5,2,1,4,6,3,Strongly Agree,Somewhat Disagree,Strongly Agree,2,1,3,Not very many,A lot,2,4,1,3,Deal fairly with all sides,2,1,Once in a while,President Obama,A lot,None,A small problem,0,0,0,0,4,1,3,2,Neither agree nor disagree,Somewhat agree,Somewhat agree,1,2,3,50,50,Democrat,1,3,2,4,Six years,Twice,No,I neither liked it nor disliked it,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,5,F_2tKKRVKEYtnq8SE,Screenshot_20230623_103730_Twitter.jpg,857158,image/jpeg,NA,NA,NA,NA,NA,NA,treatment,1040ebc07347a23fe7f3f7ebbb98eae8,1
2023-06-23T14:16:40Z,2023-06-23T14:38:54Z,IP Address,50.96.106.93,100,1334,TRUE,2023-06-23T14:38:56Z,R_3sh0aAmezYP1vzz,NA,NA,07fb87f67dd61cd55733e50fbcc6ae25,NA,34.2497,-84.4894,anonymous,EN,Yes,NA,Not at all accurate,Very accurate,Not at all accurate,Not at all accurate,Not very accurate,NA,Very accurate,NA,Not very accurate,9,6,1,2,3,4,5,8,7,10,Some,Some,Some,Some,Some,Some,1,4,6,2,5,3,Not too much,A lot,A lot,Some,I do not know this source,1,4,2,5,3,Several times a day,At least 10 times a day,1,2,0,69,52,0,52,3,4,1,5,2,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,4,2,3,1,Very likely,Very likely,Very likely,5,6,5,5,4,1,6,2,3,Neutral,Agree,Somewhat Disagree,1,2,3,Quite a few,Some,2,1,4,3,Tend to favor one side,2,1,Once in a while,President Obama,A lot,Little,A moderately big problem,53,62,20,62,4,1,3,2,Somewhat agree,Somewhat agree,Somewhat agree,2,1,3,80,60,Democrat,2,1,3,4,Six years,Twice,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F_12DZcbAwPMy2u6J,IMG_1149.png,333244,image/png,NA,control,07fb87f67dd61cd55733e50fbcc6ae25,1
2023-06-23T14:36:19Z,2023-06-23T14:39:57Z,IP Address,71.161.199.135,100,218,TRUE,2023-06-23T14:39:57Z,R_xEPSDY5KioU7KFj,NA,NA,653a4fa3936f402b4cd532072a2a7c25,NA,43.011,-71.4571,anonymous,EN,Yes,Somewhat accurate,Very accurate,Somewhat accurate,Somewhat accurate,Somewhat accurate,Very accurate,Somewhat accurate,Very accurate,Very accurate,Somewhat accurate,8,10,6,5,7,1,9,2,4,3,A lot,A lot,Some,A lot,A lot,Some,4,3,1,2,5,6,A lot,Some,A lot,A lot,A lot,5,2,3,4,1,At least 10 times a day,At least 10 times a day,2,1,79,79,71,79,85,4,5,2,1,3,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,3,1,2,4,6,6,6,Very likely,6,5,3,6,4,5,2,1,Agree,Agree,Neutral,1,3,2,Quite a few,Some,1,3,2,4,Deal fairly with all sides,1,2,All the time,President Obama,A great deal,A lot,A moderately big problem,90,83,88,72,4,2,1,3,Somewhat agree,Strongly agree,Somewhat agree,1,2,3,81,72,Democrat,3,2,1,4,Four years,Twice,No,I liked it a lot,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Extremely likely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,treatment,653a4fa3936f402b4cd532072a2a7c25,1
2023-06-23T14:28:43Z,2023-06-23T14:41:55Z,IP Address,104.176.13.88,100,791,TRUE,2023-06-23T14:41:56Z,R_1jP6YnE3LOh9Crf,NA,NA,fed82ca0812398674db06a10c696e712,NA,32.9247,-96.8917,anonymous,EN,Yes,Somewhat accurate,Not at all accurate,Somewhat accurate,Very accurate,NA,Very accurate,Not at all accurate,Not very accurate,Not very accurate,Not at all accurate,9,8,2,10,4,3,5,6,1,7,Not too much,Some,Not at all,Not too much,Some,Not at all,2,4,6,3,1,5,Not too much,Not at all,Not too much,Not too much,Not at all,4,1,3,2,5,Several times a day,Several times a day,2,1,89,10,9,90,10,2,4,5,3,1,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,1,2,3,4,Very likely,Very likely,6,6,4,5,4,6,2,1,5,3,Somewhat Agree,Somewhat Agree,Strongly Agree,1,3,2,Quite a few,Not too much,3,4,2,1,Tend to favor one side,1,2,Once in a while,President Obama,A moderate amount,Little,A moderately big problem,20,70,19,20,1,4,2,3,Strongly disagree,Somewhat disagree,Somewhat disagree,1,2,3,30,20,Independent,1,3,2,4,Six years,Twice,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F_1I59Ft9omXWUTbo,ScreenShot.PNG,87613,image/png,NA,control,fed82ca0812398674db06a10c696e712,1
2023-06-23T14:10:50Z,2023-06-23T14:43:15Z,IP Address,73.234.153.104,100,1944,TRUE,2023-06-23T14:43:17Z,R_3dXNx74RmXDzMJ0,NA,NA,c96d5c0016f0fb82420af57789446f58,NA,41.6669,-72.7726,anonymous,EN,Yes,NA,Not at all accurate,NA,NA,NA,NA,NA,NA,NA,NA,8,9,1,2,4,5,10,6,7,3,Some,Some,Some,Some,Some,Some,4,1,6,5,3,2,Some,Some,Some,I do not know this source,Some,3,1,4,2,5,At least 10 times a day,About once a day,1,2,50,50,50,50,50,3,1,2,4,5,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,2,4,1,3,Very likely,Very likely,5,6,6,4,3,6,1,5,4,2,Neutral,Somewhat Agree,Neutral,1,3,2,Quite a few,Some,3,4,2,1,Tend to favor one side,1,2,About half of the time,President Obama,A moderate amount,Little,A moderately big problem,50,50,50,50,3,4,2,1,Neither agree nor disagree,Somewhat agree,Somewhat agree,1,2,3,50,50,Something else,1,3,2,4,Six years,Twice,No,I liked it a lot,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Extremely likely,F_28TzdXUsQLzYCpd,Screenshot_20230623-103852_Chrome.jpg,402901,image/jpeg,NA,NA,NA,NA,NA,NA,treatment,c96d5c0016f0fb82420af57789446f58,1
2023-06-23T14:34:30Z,2023-06-23T14:44:52Z,IP Address,89.187.180.3,100,621,TRUE,2023-06-23T14:44:53Z,R_1IhD8DdgbOHQPvQ,NA,NA,4153085d332f842a14daf25297bbfc4f,NA,41.8874,-87.6318,anonymous,EN,Yes,Very accurate,Very accurate,Somewhat accurate,Very accurate,Very accurate,Very accurate,Somewhat accurate,Somewhat accurate,Very accurate,Very accurate,8,1,7,2,5,3,4,6,10,9,Some,A lot,Some,A lot,Some,A lot,5,6,4,2,1,3,A lot,Some,Some,A lot,Some,2,3,5,1,4,At least 10 times a day,At least 10 times a day,2,1,83,83,83,73,76,4,2,3,1,5,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,3,2,4,1,6,6,6,6,Very likely,Very likely,5,4,1,3,2,6,Neutral,Somewhat Disagree,Somewhat Disagree,3,2,1,Quite a few,A lot,2,4,1,3,Tend to favor one side,2,1,About half of the time,President Obama,A great deal,A lot,A moderately big problem,88,90,70,77,1,4,3,2,Strongly agree,Somewhat agree,Somewhat agree,3,2,1,81,81,Democrat,3,2,1,4,Four years,Twice,No,I liked it a little,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Extremely likely,F_3J8l0JH6586jo6d,Screenshot_20230623-104118_1.jpg,332502,image/jpeg,NA,NA,NA,NA,NA,NA,treatment,4153085d332f842a14daf25297bbfc4f,1
2023-06-23T14:37:08Z,2023-06-23T14:45:53Z,IP Address,66.190.68.131,100,524,TRUE,2023-06-23T14:45:55Z,R_2fD2OCU1sQYOr8Q,NA,NA,2e57bd3b6b05c4e9a44779525d0d80f9,NA,32.7254,-97.3208,anonymous,EN,Yes,NA,Not at all accurate,Not at all accurate,Very accurate,Not at all accurate,Not at all accurate,NA,Very accurate,Not very accurate,Not at all accurate,6,7,2,4,8,9,1,10,5,3,Some,Not at all,Some,Not at all,Not too much,Some,1,5,6,3,2,4,Not at all,Not too much,Some,Some,I do not know this source,4,5,1,2,3,At least 10 times a day,Several times a day,2,1,7,22,30,3,23,2,5,3,4,1,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,3,4,1,2,6,Very likely,Very likely,Very likely,5,4,6,3,5,1,2,4,Agree,Strongly Agree,Strongly Agree,3,1,2,Quite a few,Some,3,4,2,1,Tend to favor one side,2,1,About half of the time,President Obama,A moderate amount,A moderate amount,A moderately big problem,13,11,0,14,3,2,1,4,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,2,1,3,75,41,Democrat,3,2,1,4,Four years,Twice,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F_3F5vlrEzypEov0f,Screenshot_20230623-094503.png,738998,image/png,NA,control,2e57bd3b6b05c4e9a44779525d0d80f9,1
