email,exp,compliance_all,compliance_per_day,n_image,n_links,afp_fact_check,snopes,verify_this,politi_fact,lead_stories_com,ap_fact_check,factcheckdotorg,correct_fct_submissions,compliers
0c11e5f21ea274bfebf618db034f06d9,treatment,17,16,0,17,0,0,0,0,0,0,0,0,0
ae5f5801796926bffd43b1bf6f904826,control,19,17,0,19,0,0,0,0,0,0,0,0,0
eea5645277531b46a2d6fe3fbdcf218a,treatment,12,9,0,12,0,0,0,0,0,0,0,0,0
fed82ca0812398674db06a10c696e712,control,46,19,38,8,0,0,0,0,0,0,0,0,0
4a367a9558042e7b7bdfd41b1d4e376d,treatment,26,23,0,26,0,0,0,0,0,0,0,0,0
27d50c305c84ff3dc95a04cc6db5e641,control,23,17,0,23,0,0,0,0,0,0,0,0,0
f7a8234bb05afb03ec5b99e76f71287e,treatment,7,7,0,7,0,0,0,0,0,0,0,0,0
88bc7cbecd88492462cc6847027be912,treatment,10,10,9,1,0,7,1,0,1,0,0,1,0
44cdafcba52678d49a2fd3387a06eeba,treatment,18,17,0,18,0,0,0,0,0,0,0,0,0
e86c99f429ec0f6f161031d89d64f966,treatment,22,21,22,0,2,8,7,4,2,0,0,2,0
db50dad47bd0b775b0b1ad7199f729ed,control,15,14,0,15,0,0,0,0,0,0,0,0,0
4c8f47bede1a141f58dd70f2647fb115,control,21,18,0,21,0,0,0,0,0,0,0,0,0
cc3bb9b2b4cc49e3b11aaf9a21fe10f4,control,14,13,13,1,0,0,0,0,0,0,0,0,0
a6b2c28eed30c288fca8bbf8f994db86,control,5,5,4,1,0,0,0,0,0,0,0,0,0
1e59f41f5e4fd0ce2413511718a5f387,control,20,18,0,20,0,0,0,0,0,0,0,0,0
44302bad7b8134bff091feebf92dc47d,treatment,11,10,0,11,0,0,0,0,0,0,0,0,0
a23c90952049077104d78515c8d500ae,treatment,22,21,22,0,1,9,6,6,0,0,0,0,0
0ae2774ca1b539946f03be9d6745a9a0,control,22,21,22,0,0,0,0,0,0,0,0,0,0
a40eeab4bc457810fd368a5e00b8af67,treatment,25,25,0,25,0,0,0,0,0,0,0,0,0
7b14c9223d20d997519e63b529d278cb,control,16,16,16,0,0,0,0,0,0,0,0,0,0
b7a42bf9a725b73540dee18f5e24e8e3,control,11,11,7,4,0,0,0,0,0,0,0,0,0
512eb14179dec793c6ce8b860b4c8306,control,23,21,8,15,0,0,0,0,0,0,0,0,0
29bfaa16829f1e5b46dc08d7eb976dd0,treatment,22,22,22,0,2,11,6,0,1,0,0,1,0
f630a4981c0afef135dc6296b3c5aa63,control,12,9,0,12,0,0,0,0,0,0,0,0,0
dc57ab97d8b720530680916b1190a9f6,control,24,20,24,0,0,0,0,0,0,0,0,0,0
ffde82da12d99a13d3187aecc3410428,treatment,26,24,26,0,0,12,14,0,0,0,0,0,0
c51136b3e737ba977f8dde744fb9e81b,treatment,44,16,44,0,0,2,38,0,0,0,4,0,0
1a3e34ab2d00e92b0cc6f5624ff0a63e,treatment,25,23,0,25,0,0,0,0,0,0,0,0,0
cafeb2a3a8d50b4106f5c876466cbfc8,control,23,14,23,0,0,0,0,0,0,0,0,0,0
1af9103411ff277321f26f477c092d87,control,23,20,23,0,0,0,0,0,0,0,0,0,0
58d9683897a5262e1defca9b5a9501ae,control,4,4,0,4,0,0,0,0,0,0,0,0,0
81cd5660526bd734cc319ae1f60b5a66,control,23,19,23,0,0,0,0,0,0,0,0,0,0
466bb3d3214d81650ec7b1281d0f454e,treatment,21,19,0,21,0,0,0,0,0,0,0,0,0
8215a8476aa66b11233058c7a0723c46,control,4,3,4,0,0,0,0,0,0,0,0,0,0
b29f34fca4b287e30aaf9a85b094b436,control,3,2,3,0,0,0,0,0,0,0,0,0,0
f86543231556f93abbff0e6e6ad989fd,control,22,17,19,3,0,0,1,0,0,0,0,0,0
c2609b488f810b9f69935631786307c6,treatment,4,4,3,1,0,2,1,0,0,0,0,0,0
4153085d332f842a14daf25297bbfc4f,treatment,4,4,3,1,0,0,2,1,0,0,0,0,0
b07324ce8b4af02e68304115b6cb4e8e,control,11,10,1,10,0,0,0,0,0,0,0,0,0
